=== 内存监控开始 === 1755157778
时间戳,进程内存(MB),虚拟内存(MB),驻留内存(MB),共享内存(MB),GPU已用(MB),GPU总量(MB),CPU使用率(%),内存使用率(%)
1755158205,2844,29733,3548,84,4023,12288,1.71,15.36
1755158206,2918,29797,3622,84,4023,12288,2.33,15.45
1755158207,2899,29733,3604,84,4023,12288,2.94,15.42
1755158208,2914,29797,3619,84,4139,12288,2.05,15.45
1755158209,2844,29733,3548,84,4023,12288,0.00,15.34
1755158210,2872,29893,3577,84,4105,12288,32.31,15.38
1755158211,2798,29743,3502,84,4023,12288,4.17,15.28
1755158212,2879,29871,3583,84,4113,12288,45.89,15.42
1755158213,2812,29702,3517,84,4023,12288,0.00,15.30
1755158214,2883,29830,3588,84,4139,12288,7.14,15.41
1755158215,2875,29720,3580,84,4023,12288,2.26,15.41
1755158216,2957,29848,3662,84,4023,12288,48.54,15.54
1755158217,2876,29720,3581,84,4023,12288,0.00,15.39
1755158218,2901,29848,3606,84,4023,12288,49.15,15.44
1755158219,2831,29720,3535,84,4023,12288,1.37,15.35
1755158220,2856,29848,3561,84,4023,12288,49.12,15.39
1755158221,2831,29720,3535,84,4023,12288,2.08,15.35
1755158222,2907,29848,3612,84,4023,12288,50.30,15.45
1755158224,2887,29720,3592,84,4023,12288,2.14,15.43
1755158225,2887,29720,3592,84,4023,12288,3.85,15.43
1755158226,2887,29720,3592,84,4023,12288,2.50,15.43
1755158227,2837,29726,3542,84,4023,12288,1.72,15.34
1755158228,2837,29726,3542,84,4023,12288,1.55,15.35
1755158229,2837,29726,3542,84,4023,12288,1.72,15.34
1755158230,2837,29726,3542,84,4023,12288,1.70,15.35
1755158231,2840,29726,3545,84,4023,12288,1.31,15.35
1755158232,2856,29726,3560,84,4023,12288,2.02,15.37
1755158233,2840,29726,3545,84,4023,12288,2.13,15.36
1755158234,2859,29790,3563,84,4023,12288,2.15,15.37
1755158235,2840,29726,3545,84,4023,12288,1.69,15.33
1755158236,2919,29790,3624,84,4023,12288,2.82,15.47
1755158237,2893,29758,3600,87,4035,12288,2.60,15.42
1755158238,2965,30078,3672,87,4131,12288,0.00,15.53
1755158239,2893,30142,3600,87,4035,12288,1.67,15.43
1755158240,2914,30302,3621,87,4091,12288,62.58,15.48
1755158241,2838,30142,3545,87,4035,12288,1.47,15.33
1755158242,2923,30302,3630,87,4039,12288,0.00,15.46
1755158243,2838,30142,3545,87,4035,12288,0.00,15.33
1755158244,2919,30270,3626,87,4151,12288,2.96,15.47
1755158245,2894,30142,3601,87,4035,12288,1.92,15.43
1755158246,2924,30270,3631,87,4035,12288,0.00,15.46
1755158247,2894,30142,3601,87,4035,12288,0.00,15.42
1755158248,2919,30270,3626,87,4035,12288,48.28,15.46
1755158249,2894,30142,3601,87,4035,12288,2.08,15.42
1755158250,2915,30270,3622,87,4035,12288,66.91,15.47
1755158251,2894,30142,3601,87,4035,12288,2.47,15.43
1755158253,2936,30276,3643,87,4035,12288,46.09,15.50
1755158254,2907,30153,3614,87,4035,12288,1.14,15.45
1755158255,2907,30153,3614,87,4035,12288,2.82,15.45
1755158256,2907,30153,3614,87,4035,12288,1.91,15.45
1755158257,2907,30153,3614,87,4035,12288,0.00,15.44
1755158258,2907,30153,3614,87,4035,12288,3.17,15.43
1755158259,2963,30153,3670,87,4035,12288,1.20,15.53
1755158260,2973,30153,3680,87,4035,12288,0.00,15.53
